variant,accuracy,balanced_accuracy,macro_f1,nll,brier,ece,trade_ann_return,trade_sharpe,trade_max_drawdown,trade_calmar,trade_mean_daily_return,trade_tail_loss_5pct,trade_fp_buy_loss,regimes_used,adapt_rate,mean_shock
no_adaptation,0.2571807101218866,0.22357890061514746,0.21254131622653535,1.5749808101196172,0.7888399922061485,0.06722370506035759,0.11479465981263037,0.5628069781179984,0.5233283633693775,0.2193549363029388,0.000548451803992982,-0.018492493121108174,0.03212115916369696,,,
fintta_prequential,0.29408231761172937,0.20006770492114967,0.09115316462367695,2.6375589891051097,1.16863987214527,0.5329604897743514,0.03401027045146199,0.2699893842774017,0.6463912392480496,0.052615611701318385,0.00020445013093696245,-0.01649164071016919,0.032117024945585854,2.0,0.9928457869634341,0.0
fintta_same_batch,0.29408673379261613,0.20008135195428603,0.09118656624747418,2.639789813321663,1.1692474007857345,0.5334887768963352,0.03862722079568193,0.29364397078693366,0.6365398058091751,0.06068311901801329,0.00022162217662376164,-0.01659073976264913,0.03206372735168667,2.0,0.9928457869634341,0.2519858856620048
conservative_bias_prequential,0.26960342695636813,0.2218470776655678,0.20622788871472073,1.5597595115133995,0.7821330643959149,0.05443989884959179,0.10252682499945864,0.5275759494025115,0.556092372832383,0.18437013346733647,0.0004972421713076978,-0.018274555542956296,0.03190221782071363,2.0,0.0,0.0
conservative_bias_same_batch,0.26965200494612257,0.22190811807060246,0.2062890529211645,1.5597539679639996,0.782130795680803,0.05439096410653338,0.10356483432747621,0.5315968193067023,0.5553950679496573,0.18647056897645545,0.0005009343544649447,-0.018158957868364432,0.03190207079018877,2.0,0.0,0.2519858856620048
calibration_bias_prequential,0.25147500441618087,0.22321732961236,0.20878280961065337,1.5551052406233596,0.7804785956332383,0.007622309412620987,0.0974294569814238,0.5124915038363813,0.5386626111931849,0.18087287841535565,0.0004762629778774533,-0.01846948082422835,0.03232821679662804,2.0,0.9888712241653418,0.0
fintta_no_risk,0.292271683448154,0.2046757854241815,0.11898907968828429,2.6366399356854906,1.1369356218491642,0.4639104866315284,0.1248236467821866,0.6732907658140415,0.5592772169476153,0.22318743370813016,0.0005501055724219972,-0.01753621583839072,0.033208772235238423,2.0,0.9928457869634341,0.2519858856620048
fintta_no_graph,0.29407348524995586,0.2000616985544009,0.09115195886571485,2.632152453601842,1.1677079804824564,0.5324209859634514,0.041167323006004786,0.3068252956292112,0.6337855946740547,0.06495465241224281,0.0002309394802229623,-0.01676993674274595,0.032077698827644795,2.0,0.9928457869634341,0.2519858856620048
fintta_no_prior,0.11851704645822293,0.20470100773861497,0.06811667796738882,4.912669691167113,1.569159969274987,0.7382776446558893,0.1293993223012726,0.6692519026949156,0.5798593792748793,0.22315638398893325,0.0005751295905455658,-0.019502007992351512,0.0401702471744981,2.0,0.9928457869634341,0.2519858856620048
fintta_no_teacher,0.29406906906906904,0.2000528173533059,0.09113412482655588,2.623747326377712,1.1659270599474918,0.5311440770556262,0.035525188359114335,0.2777526136113725,0.635437918539577,0.05590662332632863,0.0002100197584639246,-0.01677359100780974,0.032151983079194424,2.0,0.9928457869634341,0.2519858856620048
tent_lite,0.29403373962197493,0.20135268009375545,0.10352750532013202,3.3697292723361536,1.203152132846224,0.5232064097541957,0.08425099651398238,0.4670367856176077,0.6745625830655562,0.12489722766859973,0.0004232319495993262,-0.019245386403549718,0.03112177554680563,2.0,0.9928457869634341,0.2519858856620048
